season,iowa_name,iowa_conf_name,iowa_points,iowa_fgm,iowa_fga,iowa_thpm,iowa_thpa,iowa_twpm,iowa_twpa,iowa_ftm,iowa_fta,opp_name,opp_conf_name,opp_points,opp_fgm,opp_fga,opp_thpm,opp_thpa,opp_twpm,opp_twpa,opp_ftm,opp_fta
2015,Hawkeyes,Big Ten,82,31,65,11,27,20,38,9,10,Cyclones,Big 12,83,34,70,9,30,25,40,6,11
2015,Hawkeyes,Big Ten,76,28,65,10,22,18,43,10,16,Spartans,Big Ten,59,23,55,4,21,19,34,9,13
2015,Hawkeyes,Big Ten,68,27,63,5,24,22,39,9,15,Terrapins,Big Ten,74,26,58,6,25,20,33,16,23
2015,Hawkeyes,Big Ten,64,22,54,3,12,19,42,17,22,Buckeyes,Big Ten,68,25,56,5,18,20,38,13,16
2015,Hawkeyes,Big Ten,71,28,62,8,28,20,34,7,10,Wolverines,Big Ten,61,23,64,8,34,15,30,7,12
2015,Hawkeyes,Big Ten,90,31,65,11,29,20,36,17,21,Scarlet Knights,Big Ten,76,31,64,4,17,27,47,10,13
2015,Hawkeyes,Big Ten,70,25,58,7,19,18,39,13,20,Boilermakers,Big Ten,63,23,59,8,25,15,34,9,15
2015,Hawkeyes,Big Ten,78,29,63,7,18,22,45,13,23,Hoosiers,Big Ten,85,29,63,9,25,20,38,18,21
2015,Hawkeyes,Big Ten,77,28,65,8,20,20,45,13,16,Fighting Illini,Big Ten,65,26,66,8,25,18,41,5,6
2015,Hawkeyes,Big Ten,75,21,51,8,24,13,27,25,35,Nittany Lions,Big Ten,79,26,56,10,28,16,28,17,22
2015,Hawkeyes,Big Ten,89,36,66,12,22,24,44,5,7,Golden Eagles,Big East,61,22,57,7,30,15,27,10,14
2015,Hawkeyes,Big Ten,77,27,62,12,24,15,38,11,17,Flyers,Atlantic 10,82,27,55,7,20,20,35,21,27
2014,Hawkeyes,Big Ten,44,14,51,3,12,11,39,13,18,Panthers,Missouri Valley,56,20,44,6,18,14,26,10,15
2013,Hawkeyes,Big Ten,83,29,64,3,18,26,46,22,30,Bulldogs,Missouri Valley,66,23,58,12,29,11,29,8,10
2013,Hawkeyes,Big Ten,82,32,69,4,17,28,52,14,21,Cyclones,Big 12,85,28,59,6,17,22,42,23,36
2013,Hawkeyes,Big Ten,89,31,59,9,16,22,43,18,22,Miners,Conference USA,53,18,52,5,22,13,30,12,21
2014,Hawkeyes,Big Ten,60,18,55,3,20,15,35,21,24,Tar Heels,Atlantic Coast,55,19,68,4,23,15,45,13,17
2013,Hawkeyes,Big Ten,65,24,58,4,16,20,42,13,15,Volunteers,Southeastern,78,24,54,5,21,19,33,25,30
2013,Hawkeyes,Big Ten,76,28,60,7,20,21,40,13,15,Spartans,Big Ten,86,28,48,10,17,18,31,20,26
2014,Hawkeyes,Big Ten,50,20,46,6,15,14,31,4,10,Badgers,Big Ten,82,29,59,9,22,20,37,15,19
2013,Hawkeyes,Big Ten,71,25,64,4,10,21,54,17,25,Badgers,Big Ten,75,20,53,10,22,10,31,25,35
2014,Hawkeyes,Big Ten,71,23,50,8,22,15,28,17,23,Buckeyes,Big Ten,65,24,57,6,24,18,33,11,15
2013,Hawkeyes,Big Ten,84,29,61,5,17,24,44,21,26,Buckeyes,Big Ten,74,25,56,7,21,18,35,17,24
2013,Hawkeyes,Big Ten,67,25,53,2,10,23,43,15,21,Wolverines,Big Ten,75,27,58,8,27,19,31,13,16
2014,Hawkeyes,Big Ten,72,32,51,4,11,28,40,4,6,Wolverines,Big Ten,54,19,47,7,24,12,23,9,11
2013,Hawkeyes,Big Ten,76,28,54,5,12,23,42,15,20,Wildcats,Big Ten,50,20,55,4,20,16,35,6,9
