season,iowa_name,iowa_conf_name,iowa_points,iowa_fgm,iowa_fga,iowa_thpm,iowa_thpa,iowa_twpm,iowa_twpa,iowa_ftm,iowa_fta,opp_name,opp_conf_name,opp_points,opp_fgm,opp_fga,opp_thpm,opp_thpa,opp_twpm,opp_twpa,opp_ftm,opp_fta
2015,Hawkeyes,Big Ten,78,27,64,5,21,22,43,19,26,Seminoles,Atlantic Coast,75,29,76,5,23,24,53,12,15
2015,Hawkeyes,Big Ten,83,27,54,11,20,16,34,18,28,Boilermakers,Big Ten,71,27,64,9,23,18,41,8,15
2015,Hawkeyes,Big Ten,78,26,67,8,19,18,48,18,27,Hoosiers,Big Ten,81,30,59,11,22,19,37,10,20
2015,Hawkeyes,Big Ten,77,23,53,7,17,16,36,24,32,Cornhuskers,Big Ten,66,25,58,7,20,18,38,9,16
2015,Hawkeyes,Big Ten,59,18,55,5,18,13,37,18,25,Badgers,Big Ten,67,25,52,10,23,15,29,7,12
2015,Hawkeyes,Big Ten,103,40,72,12,28,28,44,11,20,Eagles,Mid Eastern Athletic,68,24,74,8,28,16,46,12,22
2015,Hawkeyes,Big Ten,82,31,61,10,22,21,39,10,11,Wolverines,Big Ten,71,25,54,10,28,15,26,11,14
2015,Hawkeyes,Big Ten,75,24,57,6,19,18,38,21,30,Golden Gophers,Big Ten,71,25,65,6,22,19,43,15,20
2015,Hawkeyes,Big Ten,85,32,70,11,30,21,40,10,13,Golden Eagles,Ohio Valley,63,22,57,8,26,14,31,11,16
2015,Hawkeyes,Big Ten,83,27,56,6,13,21,43,23,31,Spartans,Big Ten,70,27,64,3,13,24,51,13,20
2015,Hawkeyes,Big Ten,90,33,66,10,23,23,43,14,19,Leathernecks,Summit League,56,23,66,6,22,17,44,4,7
2015,Hawkeyes,Big Ten,73,25,54,6,17,19,37,17,26,Nittany Lions,Big Ten,49,21,69,1,20,20,49,6,12
2015,Hawkeyes,Big Ten,76,24,59,7,24,17,35,21,28,Runnin' Bulldogs,Big South,59,19,60,6,23,13,37,15,21
2015,Hawkeyes,Big Ten,95,34,72,12,25,22,47,15,19,Kangaroos,Western Athletic,75,29,66,7,18,22,48,10,16
2015,Hawkeyes,Big Ten,85,25,59,7,19,18,40,28,36,Wildcats,Big Ten,71,26,62,11,30,15,32,8,14
2015,Hawkeyes,Big Ten,70,28,60,8,21,20,39,6,8,Bulldogs,Missouri Valley,64,24,60,11,26,13,34,5,8
2015,Hawkeyes,Big Ten,84,28,52,8,18,20,34,20,24,Shockers,American Athletic,61,21,59,6,22,15,37,13,17
2015,Hawkeyes,Big Ten,62,25,66,6,24,19,42,6,9,Fighting Irish,Atlantic Coast,68,25,55,8,25,17,30,10,15
2015,Hawkeyes,Big Ten,66,25,62,8,20,17,42,8,10,Fighting Illini,Big Ten,68,26,58,10,23,16,35,6,6
2014,Hawkeyes,Big Ten,59,21,49,4,14,17,35,13,16,Golden Gophers,Big Ten,64,23,57,6,19,17,38,12,19
2013,Hawkeyes,Big Ten,63,24,54,6,17,18,37,9,14,Fighting Illini,Big Ten,66,25,54,7,19,18,35,9,12
2013,Hawkeyes,Big Ten,67,22,48,1,6,21,42,22,39,Cornhuskers,Big Ten,57,20,67,5,18,15,49,12,18
2014,Hawkeyes,Big Ten,67,24,57,3,19,21,38,16,22,Braves,Southwestern Athletic,44,19,58,0,8,19,50,6,11
2013,Hawkeyes,Big Ten,93,29,51,8,14,21,37,27,36,Wildcats,Big Ten,67,23,59,5,24,18,35,16,25
2014,Hawkeyes,Big Ten,75,28,71,7,20,21,51,12,13,Cyclones,Big 12,90,34,64,12,27,22,37,10,13
2013,Hawkeyes,Big Ten,74,31,64,4,14,27,50,8,9,Badgers,Big Ten,79,30,63,8,24,22,39,11,13
2013,Hawkeyes,Big Ten,83,21,56,3,14,18,42,38,49,Mavericks,Summit League,75,28,71,8,28,20,43,11,16
2014,Hawkeyes,Big Ten,72,25,61,5,14,20,47,17,26,Waves,West Coast,61,19,51,7,27,12,24,16,26
2013,Hawkeyes,Big Ten,69,27,60,3,20,24,40,12,19,Buckeyes,Big Ten,76,25,49,7,16,18,33,19,24
2014,Hawkeyes,Big Ten,81,30,59,8,17,22,42,13,22,Scarlet Knights,Big Ten,47,18,55,5,22,13,33,6,13
2013,Hawkeyes,Big Ten,92,34,70,4,11,30,59,20,27,Knights,Northeast,59,21,65,7,22,14,43,10,14
