venue_name,venue_state,conference_game,away_name,home_name,event_coord_x,event_coord_y,type,shot_made,points_scored,season
KeyArena,WA,,Wildcats,Hawkeyes,806.0,140.0,,false,,2014
United Center,IL,,Nittany Lions,Hawkeyes,,,,false,,2014
United Center,IL,,Nittany Lions,Hawkeyes,572.0,297.0,,false,,2014
United Center,IL,,Nittany Lions,Hawkeyes,570.0,303.0,,false,,2014
United Center,IL,,Nittany Lions,Hawkeyes,,,,false,,2014
HP Field House,FL,,Fighting Irish,Hawkeyes,,,,false,,2015
HP Field House,FL,,Shockers,Hawkeyes,,,,false,,2015
HP Field House,FL,,Shockers,Hawkeyes,,,,false,,2015
Verizon Center,DC,false,Hoosiers,Hawkeyes,,,,false,,2016
Verizon Center,DC,false,Hoosiers,Hawkeyes,,,,false,,2016
Wells Fargo Arena,IA,,Bulldogs,Hawkeyes,456.0,56.0,,false,,2015
Wells Fargo Arena,IA,,Bulldogs,Hawkeyes,,,,false,,2015
Wells Fargo Arena,IA,,Bulldogs,Hawkeyes,,,,false,,2015
Wells Fargo Arena,IA,,Bulldogs,Hawkeyes,,,,false,,2015
Wells Fargo Arena,IA,false,Panthers,Hawkeyes,,,,false,,2016
Wells Fargo Arena,IA,false,Bulldogs,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,,Braves,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Cornhuskers,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Fighting Illini,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Kangaroos,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Golden Gophers,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Golden Gophers,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,true,Fighting Illini,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Fighting Illini,Hawkeyes,570.0,290.0,,false,,2016
Carver-Hawkeye Arena,IA,false,Hatters,Hawkeyes,564.0,304.0,,false,,2016
Carver-Hawkeye Arena,IA,false,Vaqueros,Hawkeyes,587.0,528.0,,false,,2016
Carver-Hawkeye Arena,IA,false,Vaqueros,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,true,Cornhuskers,Hawkeyes,581.0,243.0,,false,,2013
Carver-Hawkeye Arena,IA,true,Spartans,Hawkeyes,103.0,109.0,,false,,2013
Carver-Hawkeye Arena,IA,false,Golden Lions,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,true,Golden Gophers,Hawkeyes,945.0,43.0,,false,,2013
Carver-Hawkeye Arena,IA,,Wildcats,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Buckeyes,Hawkeyes,566.0,301.0,,false,,2014
Carver-Hawkeye Arena,IA,,Scarlet Knights,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Spartans,Hawkeyes,443.0,99.0,,false,,2014
Carver-Hawkeye Arena,IA,,Wolverines,Hawkeyes,563.0,303.0,,false,,2015
Carver-Hawkeye Arena,IA,,Boilermakers,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Hoosiers,Hawkeyes,574.0,74.0,,false,,2015
Carver-Hawkeye Arena,IA,true,Wolverines,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Wolverines,Hawkeyes,573.0,424.0,,false,,2016
Carver-Hawkeye Arena,IA,true,Wolverines,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Fighting Hawks,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Tigers,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Mavericks,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,false,Quakers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,true,Buckeyes,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,,Scarlet Knights,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Nittany Lions,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Hoosiers,Hawkeyes,635.0,88.0,,false,,2015
Carver-Hawkeye Arena,IA,,Seminoles,Hawkeyes,608.0,137.0,,false,,2015
Carver-Hawkeye Arena,IA,,Seminoles,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Cornhuskers,Hawkeyes,535.0,279.0,,false,,2015
Carver-Hawkeye Arena,IA,false,Fighting Hawks,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Pirates,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Vaqueros,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Tigers,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Tigers,Hawkeyes,548.0,581.0,,false,,2016
Carver-Hawkeye Arena,IA,false,Cougars,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,true,Fighting Illini,Hawkeyes,562.0,338.0,,false,,2013
Carver-Hawkeye Arena,IA,,Waves,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Spartans,Hawkeyes,546.0,290.0,,false,,2015
Carver-Hawkeye Arena,IA,false,Mavericks,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Wolverines,Hawkeyes,566.0,262.0,,false,,2017
Carver-Hawkeye Arena,IA,false,Hornets,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,,Wildcats,Hawkeyes,469.0,516.0,,false,,2015
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,385.0,87.0,,false,,2013
Carver-Hawkeye Arena,IA,false,Quakers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,false,Horned Frogs,Hawkeyes,666.0,284.0,,false,,2016
Carver-Hawkeye Arena,IA,true,Wolverines,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Cornhuskers,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,true,Fighting Illini,Hawkeyes,564.0,296.0,,false,,2016
Carver-Hawkeye Arena,IA,,Pirates,Hawkeyes,949.0,406.0,,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,true,Hoosiers,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,663.0,174.0,,false,,2017
Carver-Hawkeye Arena,IA,,Wildcats,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,true,Cornhuskers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,,Wolverines,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,true,Badgers,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,true,Buckeyes,Hawkeyes,576.0,300.0,,false,,2017
Carver-Hawkeye Arena,IA,,Terrapins,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,false,Fighting Irish,Hawkeyes,511.0,231.0,,false,,2013
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,true,Fighting Illini,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,false,Hawks,Hawkeyes,493.0,174.0,,false,,2013
Carver-Hawkeye Arena,IA,false,Mavericks,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,,Spartans,Hawkeyes,821.0,57.0,,false,,2014
Carver-Hawkeye Arena,IA,,Badgers,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Fighting Illini,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Fighting Illini,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Braves,Hawkeyes,395.0,399.0,,false,,2014
Carver-Hawkeye Arena,IA,,Waves,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Pirates,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Badgers,Hawkeyes,556.0,279.0,,false,,2015
Carver-Hawkeye Arena,IA,,Hoosiers,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,true,Nittany Lions,Hawkeyes,570.0,310.0,,false,,2016
Carver-Hawkeye Arena,IA,true,Buckeyes,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,,Scarlet Knights,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,,Seminoles,Hawkeyes,564.0,293.0,,false,,2015
Carver-Hawkeye Arena,IA,false,Quakers,Hawkeyes,665.0,297.0,,false,,2013
Carver-Hawkeye Arena,IA,,Cornhuskers,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,true,Nittany Lions,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,,Fighting Illini,Hawkeyes,,,,false,,2014
Carver-Hawkeye Arena,IA,true,Boilermakers,Hawkeyes,,,,false,,2017
Carver-Hawkeye Arena,IA,true,Golden Gophers,Hawkeyes,,,,false,,2013
Carver-Hawkeye Arena,IA,,Golden Gophers,Hawkeyes,,,,false,,2015
Carver-Hawkeye Arena,IA,,Waves,Hawkeyes,,,,false,,2014
