home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored,shot_made
Hawkeyes,Wildcats,567,296,,,false,,false
Hawkeyes,Nittany Lions,562,297,,,false,,false
Hawkeyes,Nittany Lions,557,301,,,false,,false
Hawkeyes,Nittany Lions,562,297,,,false,,false
Hawkeyes,Fighting Irish,570,324,,,false,,false
Hawkeyes,Hoosiers,560,283,,,false,,false
Hawkeyes,Owls,566,298,,,false,,false
Hawkeyes,Bulldogs,567,291,,,false,,false
Hawkeyes,Badgers,563,298,,,false,,false
Hawkeyes,Golden Gophers,370,202,,,false,,false
Hawkeyes,Boilermakers,455,320,,,false,,false
Hawkeyes,Tigers,560,301,,,false,,false
Hawkeyes,Buckeyes,538,239,,,false,,false
Hawkeyes,Wolverines,563,262,,,false,,false
Hawkeyes,Cornhuskers,648,241,,,false,,false
Hawkeyes,Cornhuskers,401,205,,,false,,false
Hawkeyes,Hoosiers,583,84,,,false,,false
Hawkeyes,Boilermakers,0,0,,,false,,false
Hawkeyes,Badgers,909,272,,,false,,false
Hawkeyes,Hoosiers,587,348,,,false,,false
Hawkeyes,Boilermakers,0,0,,,false,,false
Hawkeyes,Quakers,555,288,,,false,,false
Hawkeyes,Knights,559,221,,,false,,false
Hawkeyes,Boilermakers,566,297,,,false,,false
Hawkeyes,Kangaroos,529,255,,,false,,false
Hawkeyes,Knights,587,219,,,false,,false
Hawkeyes,Spartans,328,65,,,false,,false
Hawkeyes,Boilermakers,566,296,,,false,,false
Hawkeyes,Wildcats,347,29,,,false,,false
Hawkeyes,Wolverines,648,349,,,false,,false
Hawkeyes,Spartans,0,0,,,false,,false
Hawkeyes,Golden Gophers,567,301,,,false,,false
Hawkeyes,Boilermakers,384,89,,,false,,false
Hawkeyes,Golden Gophers,477,225,,,false,,false
Hawkeyes,Buckeyes,435,317,,,false,,false
Hawkeyes,Wildcats,559,279,,,false,,false
Hawkeyes,Nittany Lions,309,262,,,false,,false
Hawkeyes,Hoosiers,453,106,,,false,,false
Hawkeyes,Hoosiers,674,221,,,false,,false
Hawkeyes,Wolverines,591,284,,,false,,false
